,Producto,Repeticiones,%_Aparicion_dataset
189,chilled tuna (thunnus albacares),34,0.0005527017361336888
190,raw pistachio nuts,34,0.0005527017361336888
191,baby food,34,0.0005527017361336888
192,meat meal,33,0.0005364458027179921
193,chilled boneless beef,33,0.0005364458027179921
194,frozen yellowfin tuna (thunnus albacares),33,0.0005364458027179921
195,stainless steel knives,32,0.0005201898693022953
196,horse meat,32,0.0005201898693022953
197,frozen turkey meat preparation,32,0.0005201898693022953
198,frozen tuna,32,0.0005201898693022953
199,melamine bowls,32,0.0005201898693022953
200,chilled mackerel (scomber scombrus),32,0.0005201898693022953
201,frozen octopus (octopus vulgaris),32,0.0005201898693022953
202,dragon fruit,31,0.0005039339358865986
203,wheat,31,0.0005039339358865986
204,smoked fish,31,0.0005039339358865986
205,natural mineral water,31,0.0005039339358865986
206,pumpkin seeds,31,0.0005039339358865986
207,beans,31,0.0005039339358865986
208,frozen fish,31,0.0005039339358865986
209,organic hulled sesame seeds,30,0.00048767800247090186
210,red chilli powder,30,0.00048767800247090186
211,chilled chicken breast,30,0.00048767800247090186
212,energy drink,29,0.00047142206905520517
213,melamine plates,29,0.00047142206905520517
214,squid - frozen,29,0.00047142206905520517
215,chilled chicken,29,0.00047142206905520517
216,peaches,29,0.00047142206905520517
217,organic sunflower cake,29,0.00047142206905520517
218,frozen poultry meat,28,0.0004551661356395084
219,mandarins,28,0.0004551661356395084
220,chewing gum,28,0.0004551661356395084
221,fresh coriander,28,0.0004551661356395084
222,chilled poultry meat,28,0.0004551661356395084
223,broccoli,28,0.0004551661356395084
224,gorgonzola cheese,28,0.0004551661356395084
225,lamb meal,28,0.0004551661356395084
226,chilled turkey meat,27,0.0004389102022238117
227,almonds without shell,27,0.0004389102022238117
228,live clams,27,0.0004389102022238117
229,frozen pangasius fillets (pangasius hypophthalmus),27,0.0004389102022238117
230,soft drinks,27,0.0004389102022238117
231,oregano,27,0.0004389102022238117
232,mussels (mytilus galloprovincialis),27,0.0004389102022238117
233,dried goji berries,26,0.00042265426880811494
234,chocolate,26,0.00042265426880811494
235,hazelnut paste,26,0.00042265426880811494
236,herbal tea,26,0.00042265426880811494
237,mandarines,26,0.00042265426880811494
238,bovine meat,26,0.00042265426880811494
239,chorizo,26,0.00042265426880811494
240,frozen chicken breasts,25,0.00040639833539241825
241,fig paste,25,0.00040639833539241825
242,smoked sprats in oil,25,0.00040639833539241825
243,knives,25,0.00040639833539241825
244,mineral water,25,0.00040639833539241825
245,breakfast cereals,25,0.00040639833539241825
246,parboiled long grain rice,25,0.00040639833539241825
247,ginger powder,25,0.00040639833539241825
248,fresh mackerel (scomber scombrus),25,0.00040639833539241825
249,organic dried figs,25,0.00040639833539241825
250,sweet paprika powder,25,0.00040639833539241825
251,royal jelly,25,0.00040639833539241825
252,candies,25,0.00040639833539241825
253,frozen swordfish loins (xiphias gladius),24,0.0003901424019767215
254,cotton seeds,24,0.0003901424019767215
255,chilled swordfish loins,24,0.0003901424019767215
256,soy bean meal,24,0.0003901424019767215
257,frozen chicken legs,24,0.0003901424019767215
258,live crabs (cancer pagurus),24,0.0003901424019767215
259,frozen salted chicken breast,24,0.0003901424019767215
260,sausage,24,0.0003901424019767215
261,algae,23,0.00037388646856102476
262,frozen beef trimmings,23,0.00037388646856102476
263,bitter apricot kernels,23,0.00037388646856102476
264,frozen tuna (thunnus albacares),23,0.00037388646856102476
265,frozen minced beef,23,0.00037388646856102476
266,infant formula,23,0.00037388646856102476
267,red palm oil,23,0.00037388646856102476
268,sweet basil,23,0.00037388646856102476
269,chilled chicken wings,23,0.00037388646856102476
270,frozen cuttlefish,23,0.00037388646856102476
271,fresh swordfish (xiphias gladius),23,0.00037388646856102476
272,coffee beans - raw,23,0.00037388646856102476
273,crabs (cancer pagurus),23,0.00037388646856102476
274,melamine bowl,23,0.00037388646856102476
275,chilled clams,22,0.00035763053514532806
276,fresh spinach,22,0.00035763053514532806
277,pineapples,22,0.00035763053514532806
278,packaging of milk for babies,22,0.00035763053514532806
279,pasta,22,0.00035763053514532806
280,cooked prawns (penaeus vannamei),22,0.00035763053514532806
281,canned tuna,22,0.00035763053514532806
282,frozen black tiger shrimps (penaeus monodon),22,0.00035763053514532806
283,cuttlefish - frozen,22,0.00035763053514532806
284,shrimps,22,0.00035763053514532806
285,salmon,22,0.00035763053514532806
286,dried pitted prunes,22,0.00035763053514532806
287,frozen chicken thighs,22,0.00035763053514532806
288,fresh oranges,21,0.0003413746017296313
289,frozen swordfish fillets,21,0.0003413746017296313
290,melons,21,0.0003413746017296313
291,frozen strawberries,21,0.0003413746017296313
292,ground cumin,21,0.0003413746017296313
293,sugar coated fennel seeds,21,0.0003413746017296313
294,frozen chicken breast,21,0.0003413746017296313
295,live clams (tapes decussatus),21,0.0003413746017296313
296,salted hog casings,21,0.0003413746017296313
297,groundnuts without shell,21,0.0003413746017296313
298,tahini,20,0.0003251186683139346
299,gorgonzola,20,0.0003251186683139346
300,live mussels (mytilus edulis),20,0.0003251186683139346
301,ground ginger,20,0.0003251186683139346
302,coriander,20,0.0003251186683139346
303,organic groundnut kernels,20,0.0003251186683139346
304,sliced smoked salmon,20,0.0003251186683139346
305,seaweed,20,0.0003251186683139346
306,groundnut paste,20,0.0003251186683139346
307,cbd oil,20,0.0003251186683139346
308,paprika,20,0.0003251186683139346
309,bivalves molluscs,20,0.0003251186683139346
310,ground black pepper,20,0.0003251186683139346
311,canned corned beef,20,0.0003251186683139346
312,fish,20,0.0003251186683139346
313,mint,20,0.0003251186683139346
314,sweets,20,0.0003251186683139346
315,clams,20,0.0003251186683139346
316,olives in brine,20,0.0003251186683139346
317,chilled whole chicken,19,0.00030886273489823783
318,roasted hazelnuts,19,0.00030886273489823783
319,parboiled rice,19,0.00030886273489823783
320,pomegranate,19,0.00030886273489823783
321,chilled mackerel,19,0.00030886273489823783
322,crushed chillies,19,0.00030886273489823783
323,turmeric powder,19,0.00030886273489823783
324,frozen sardines (sardina pilchardus),19,0.00030886273489823783
325,fresh curry leaves,19,0.00030886273489823783
326,frozen chicken meat preparation,19,0.00030886273489823783
327,cookies,19,0.00030886273489823783
328,processed animal protein,18,0.00029260680148254114
329,dried dates,18,0.00029260680148254114
330,corn,18,0.00029260680148254114
331,frozen clams,18,0.00029260680148254114
332,pangasius fillets (pangasius hypophthalmus),18,0.00029260680148254114
333,calabash chalk,18,0.00029260680148254114
334,roasted curry powder,18,0.00029260680148254114
335,ice cream,18,0.00029260680148254114
336,spices,18,0.00029260680148254114
337,buckwheat flour,18,0.00029260680148254114
338,cocoa powder,18,0.00029260680148254114
339,mini cup jelly,18,0.00029260680148254114
340,dried beet pulp,18,0.00029260680148254114
341,white sesame seeds,18,0.00029260680148254114
342,shrimps - frozen pud red (solenocera melantho),18,0.00029260680148254114
343,frozen shrimps (penaeus monodon),18,0.00029260680148254114
344,chilled chicken thighs,18,0.00029260680148254114
345,frozen jumbo squid (dosidicus gigas),17,0.0002763508680668444
346,nylon kitchen utensils,17,0.0002763508680668444
347,courgettes,17,0.0002763508680668444
348,rice crackers,17,0.0002763508680668444
349,watermelon seeds,17,0.0002763508680668444
350,frozen hake,17,0.0002763508680668444
351,chilled monkfish (lophius piscatorius),17,0.0002763508680668444
352,roasted chopped hazelnuts,17,0.0002763508680668444
353,chilled chicken legs,17,0.0002763508680668444
354,live snails,17,0.0002763508680668444
355,mangoes,17,0.0002763508680668444
356,frozen poultry meat preparations,17,0.0002763508680668444
357,hazelnut meal,17,0.0002763508680668444
358,rapeseed,17,0.0002763508680668444
359,chilled tuna loins,17,0.0002763508680668444
360,papayas,17,0.0002763508680668444
361,raw hazelnut kernels,17,0.0002763508680668444
362,frozen pork,16,0.00026009493465114765
363,chilled tuna fillets (thunnus albacares),16,0.00026009493465114765
364,raw pistachio nuts in shell,16,0.00026009493465114765
365,various food products,16,0.00026009493465114765
366,oysters (crassostrea gigas),16,0.00026009493465114765
367,hazelnuts kernels,16,0.00026009493465114765
368,chilled john dory (zeus faber),16,0.00026009493465114765
369,tuna (thunnus albacares),16,0.00026009493465114765
370,chilled peppers,16,0.00026009493465114765
371,fresh sweet peppers,16,0.00026009493465114765
372,frozen whole chicken,16,0.00026009493465114765
373,coffee,16,0.00026009493465114765
374,fodder yeast,16,0.00026009493465114765
375,chillies,16,0.00026009493465114765
376,chickpeas,16,0.00026009493465114765
377,frozen tuna loins (thunnus albacares),16,0.00026009493465114765
378,steel knives,16,0.00026009493465114765
379,red peppers,16,0.00026009493465114765
380,whole nutmeg,16,0.00026009493465114765
381,spinach,16,0.00026009493465114765
382,chocolate bars,16,0.00026009493465114765
383,pomelos,16,0.00026009493465114765
384,roasted salted pistachios,16,0.00026009493465114765
385,instant coffee,16,0.00026009493465114765
386,dog food,16,0.00026009493465114765
387,chilled boneless beef (bos taurus),16,0.00026009493465114765
388,frozen salted chicken half breast fillets,16,0.00026009493465114765
389,basil,16,0.00026009493465114765
390,mayonnaise,16,0.00026009493465114765
391,chilled swordfish fillets (xiphias gladius),16,0.00026009493465114765
392,chilled anglerfish (lophius piscatorius),16,0.00026009493465114765
393,chilled chicken quarters,15,0.00024383900123545093
394,chinese broccoli,15,0.00024383900123545093
395,chilled clams (ruditapes decussatus),15,0.00024383900123545093
396,sultana raisins,15,0.00024383900123545093
397,sunflower oil,15,0.00024383900123545093
398,shell-fish,15,0.00024383900123545093
399,chilled pork,15,0.00024383900123545093
400,quick cooking noodles,15,0.00024383900123545093
401,milk powder - skimmed for animal nutrition,15,0.00024383900123545093
402,popcorn,15,0.00024383900123545093
403,egg powder,15,0.00024383900123545093
404,raw milk goat's cheese,15,0.00024383900123545093
405,brown beans,15,0.00024383900123545093
406,fish sauce,15,0.00024383900123545093
407,vine leaves in brine,15,0.00024383900123545093
408,carrots,15,0.00024383900123545093
409,shrimps - black tiger - frozen raw (penaeus monodon),15,0.00024383900123545093
410,hot chilli powder,15,0.00024383900123545093
411,red chilli,15,0.00024383900123545093
412,salted sheep casings,15,0.00024383900123545093
413,hot paprika powder,15,0.00024383900123545093
414,chicken eggs,15,0.00024383900123545093
415,chicken meat,15,0.00024383900123545093
416,goat cheese,15,0.00024383900123545093
417,chicken breast fillets,15,0.00024383900123545093
418,pig meat,15,0.00024383900123545093
419,paan leaves (piper betel),15,0.00024383900123545093
420,mango,15,0.00024383900123545093
421,smoked swordfish (xiphias gladius),15,0.00024383900123545093
422,rucola lettuce,15,0.00024383900123545093
423,roasted peanuts,15,0.00024383900123545093
424,oloyin beans,15,0.00024383900123545093
425,rye flour,15,0.00024383900123545093
426,fresh strawberries,15,0.00024383900123545093
427,glasses,14,0.0002275830678197542
428,groundnuts kernels,14,0.0002275830678197542
429,fresh pepper,14,0.0002275830678197542
430,olive oil,14,0.0002275830678197542
431,frozen chicken leg quarters,14,0.0002275830678197542
432,melamine spoons,14,0.0002275830678197542
433,ground chilli,14,0.0002275830678197542
434,frozen bovine meat,14,0.0002275830678197542
435,scallops,14,0.0002275830678197542
436,chilled yellowfin tuna (thunnus albacares),14,0.0002275830678197542
437,walnut kernels,14,0.0002275830678197542
438,vine leaves,14,0.0002275830678197542
439,fresh eggs,14,0.0002275830678197542
440,frozen chicken wings,14,0.0002275830678197542
441,zinc oxide,14,0.0002275830678197542
442,mixed flower honey,14,0.0002275830678197542
443,octopus - frozen,14,0.0002275830678197542
444,frozen smoked salmon,14,0.0002275830678197542
445,walnuts,14,0.0002275830678197542
446,nutmeg powder,14,0.0002275830678197542
447,frozen salted chicken fillets,14,0.0002275830678197542
448,fresh basil,14,0.0002275830678197542
449,frozen salted chicken,14,0.0002275830678197542
450,frozen spinach,14,0.0002275830678197542
451,peanut paste,14,0.0002275830678197542
452,corn flour,14,0.0002275830678197542
453,whole egg powder,14,0.0002275830678197542
454,beer,14,0.0002275830678197542
455,drinking glasses,14,0.0002275830678197542
456,rye,14,0.0002275830678197542
457,roasted and salted pistachios in shell,14,0.0002275830678197542
458,peanuts - shelled,14,0.0002275830678197542
459,frozen chicken meat (gallus gallus),14,0.0002275830678197542
460,pineapple,14,0.0002275830678197542
461,mozzarella,14,0.0002275830678197542
462,dried mushrooms,14,0.0002275830678197542
463,desiccated coconut,14,0.0002275830678197542
464,mini jelly cups,14,0.0002275830678197542
465,apricot jam,14,0.0002275830678197542
466,frozen chicken liver,14,0.0002275830678197542
467,fresh pork meat,13,0.00021132713440405747
468,mineral crystals for vitalising drinking water,13,0.00021132713440405747
469,mixed nuts,13,0.00021132713440405747
470,frozen sliced swordfish (xiphias gladius),13,0.00021132713440405747
471,confectionery,13,0.00021132713440405747
472,stainless steel cutlery,13,0.00021132713440405747
473,chilled strawberries,13,0.00021132713440405747
474,frozen pig meat,13,0.00021132713440405747
475,frozen blue shark slices (prionace glauca),13,0.00021132713440405747
476,frozen swordfish loins,13,0.00021132713440405747
477,oil drops,13,0.00021132713440405747
478,frozen beef burgers,13,0.00021132713440405747
479,maize flour,13,0.00021132713440405747
480,ground melon seeds,13,0.00021132713440405747
481,organic soybean cake,13,0.00021132713440405747
482,frozen shrimps (macrobrachium rosenbergii),13,0.00021132713440405747
483,kitchen knives,13,0.00021132713440405747
484,chilled tuna,13,0.00021132713440405747
485,fresh peppermint,13,0.00021132713440405747
486,frozen chicken livers,13,0.00021132713440405747
487,ginger,13,0.00021132713440405747
488,frozen norway lobster (nephrops norvegicus),13,0.00021132713440405747
489,hulled organic sesame seeds,13,0.00021132713440405747
490,pangasius fillets,13,0.00021132713440405747
491,jelly mini cups,13,0.00021132713440405747
492,chilled turkey breast,13,0.00021132713440405747
493,soya bean meal,13,0.00021132713440405747
494,almonds in shell,13,0.00021132713440405747
495,soybean pellets,13,0.00021132713440405747
496,surimi,13,0.00021132713440405747
497,raw peanuts,13,0.00021132713440405747
498,green papaya,13,0.00021132713440405747
499,pistachio paste,13,0.00021132713440405747
500,pork casings,13,0.00021132713440405747
501,bamboo cups,13,0.00021132713440405747
502,frozen shortfin mako shark (isurus oxyrinchus),13,0.00021132713440405747
503,red wine,13,0.00021132713440405747
504,beef,13,0.00021132713440405747
505,organic eggs,13,0.00021132713440405747
506,octopus,13,0.00021132713440405747
507,muesli,13,0.00021132713440405747
508,fish products,13,0.00021132713440405747
509,seedless grapes,12,0.00019507120098836075
510,butter,12,0.00019507120098836075
511,rice sticks,12,0.00019507120098836075
512,frozen chicken kebab,12,0.00019507120098836075
513,dried organic figs,12,0.00019507120098836075
514,sweet apricot kernels,12,0.00019507120098836075
515,dried garland figs,12,0.00019507120098836075
516,strawberry jam,12,0.00019507120098836075
517,smoked sprats,12,0.00019507120098836075
518,roasted groundnuts,12,0.00019507120098836075
519,chilled sausages,12,0.00019507120098836075
520,pomelo,12,0.00019507120098836075
521,frozen mussels,12,0.00019507120098836075
522,mozzarella cheese,12,0.00019507120098836075
523,various products of animal origin,12,0.00019507120098836075
524,frozen mackerel,12,0.00019507120098836075
525,fresh tuna loins (thunnus albacares),12,0.00019507120098836075
526,raw cow's milk cheese,12,0.00019507120098836075
527,frozen cuttlefish (sepia officinalis),12,0.00019507120098836075
528,frozen frog legs,12,0.00019507120098836075
529,frozen lamb meat,12,0.00019507120098836075
530,copper sulphate,12,0.00019507120098836075
531,black sesame seeds,12,0.00019507120098836075
532,rucola,12,0.00019507120098836075
533,dried prunes,12,0.00019507120098836075
534,palm kernel expeller,12,0.00019507120098836075
535,diced dried figs,12,0.00019507120098836075
536,soft cheese,12,0.00019507120098836075
537,poppy seeds,12,0.00019507120098836075
538,dried tomatoes,12,0.00019507120098836075
539,ham,12,0.00019507120098836075
540,wheat flour,12,0.00019507120098836075
541,soya sauce,12,0.00019507120098836075
542,candy,12,0.00019507120098836075
543,shrimps - frozen peeled,12,0.00019507120098836075
544,sodium chlorite solution,12,0.00019507120098836075
545,dark chocolate,12,0.00019507120098836075
546,organic bitter apricot kernels,12,0.00019507120098836075
547,complete feed for piglets,12,0.00019507120098836075
548,frozen shrimps (litopenaeus vannamei),12,0.00019507120098836075
549,frozen cooked mussels,12,0.00019507120098836075
550,swordfish loins (xiphias gladius),12,0.00019507120098836075
551,frozen black tiger shrimps,12,0.00019507120098836075
552,raw milk,12,0.00019507120098836075
553,sunflower seed meal,12,0.00019507120098836075
554,live clams (chamelea gallina),12,0.00019507120098836075
555,fresh apples,12,0.00019507120098836075
556,ground hazelnuts,12,0.00019507120098836075
557,frozen turkey meat,12,0.00019507120098836075
558,chilled beef (bos taurus),12,0.00019507120098836075
559,poppy seed,11,0.00017881526757266403
560,brazil nut kernels,11,0.00017881526757266403
561,dried lerida figs,11,0.00017881526757266403
562,frozen raw shrimps,11,0.00017881526757266403
563,poultry meat,11,0.00017881526757266403
564,cherry tomatoes,11,0.00017881526757266403
565,frozen raw pet food,11,0.00017881526757266403
566,minced beef,11,0.00017881526757266403
567,beef trimmings,11,0.00017881526757266403
568,golden raisins,11,0.00017881526757266403
569,rice protein concentrate,11,0.00017881526757266403
570,natural honey,11,0.00017881526757266403
571,frozen turkey breast fillets,11,0.00017881526757266403
572,maize meal,11,0.00017881526757266403
573,yoghurt,11,0.00017881526757266403
574,chilled silver scabbardfish (lepidopus caudatus),11,0.00017881526757266403
575,fennel seeds,11,0.00017881526757266403
576,live clams (venus gallina),11,0.00017881526757266403
577,shrimps - black tiger (penaeus monodon),11,0.00017881526757266403
578,frozen cooked shrimps,11,0.00017881526757266403
579,dried chilli,11,0.00017881526757266403
580,live clams (ruditapes decussatus),11,0.00017881526757266403
581,frozen turkey breast,11,0.00017881526757266403
582,roasted peanuts in shell,11,0.00017881526757266403
583,grapefruit seed extract,11,0.00017881526757266403
584,food supplement containing caffeine,11,0.00017881526757266403
585,tuna loins (thunnus albacares),11,0.00017881526757266403
586,pistachios without shell,11,0.00017881526757266403
587,potatoes,11,0.00017881526757266403
588,sesame seed,11,0.00017881526757266403
589,frozen swordfish slices (xiphias gladius),11,0.00017881526757266403
590,cumin seeds,11,0.00017881526757266403
591,chilled bovine meat,11,0.00017881526757266403
592,asparagus,11,0.00017881526757266403
593,frozen tuna loins,11,0.00017881526757266403
594,live clams (tapes semidecussatus),11,0.00017881526757266403
595,groundnut kernels for bird feed,11,0.00017881526757266403
596,fresh pig meat,11,0.00017881526757266403
597,minced meat,11,0.00017881526757266403
598,swordfish - frozen,11,0.00017881526757266403
599,long grain white rice,11,0.00017881526757266403
600,chilli,11,0.00017881526757266403
601,acacia honey,11,0.00017881526757266403
602,meat and bone meal,11,0.00017881526757266403
603,complementary feed,11,0.00017881526757266403
604,milk powder,11,0.00017881526757266403
605,green peppers,11,0.00017881526757266403
606,orange drink,11,0.00017881526757266403
607,chilled turkey breasts,11,0.00017881526757266403
608,vodka,11,0.00017881526757266403
609,frozen swordfish steaks,11,0.00017881526757266403
610,fresh whole chicken,11,0.00017881526757266403
611,fishery products,11,0.00017881526757266403
612,frozen chicken nuggets,11,0.00017881526757266403
613,frozen squids (nototodarus spp),11,0.00017881526757266403
614,ground hazelnut kernels,11,0.00017881526757266403
615,frozen swordfish steaks (xiphias gladius),11,0.00017881526757266403
616,chilled raw sole fillets,10,0.0001625593341569673
617,blanched almonds,10,0.0001625593341569673
618,bitter almond kernels,10,0.0001625593341569673
619,herbal food supplement,10,0.0001625593341569673
620,swordfish loins,10,0.0001625593341569673
621,natural sesame seeds,10,0.0001625593341569673
622,monkfish (lophius piscatorius),10,0.0001625593341569673
623,groundnut runner,10,0.0001625593341569673
624,infant formulae,10,0.0001625593341569673
625,canned sardines (sardina pilchardus),10,0.0001625593341569673
626,pepper,10,0.0001625593341569673
627,breakfast cereal,10,0.0001625593341569673
628,chicken breast,10,0.0001625593341569673
629,slimming product containing hoodia gordonii,10,0.0001625593341569673
